title,link,,,,,,,,,,
oto-hoparlor,https://www.trendyol.com/oto-hoparlor-x-c109368,,,,,,,,,,
arac-ici-kameralar,https://www.trendyol.com/arac-ici-kameralar-x-c103905,,,,,,,,,,
multimedya_goruntu-sistemleri,https://www.trendyol.com/multimedya-goruntu-sistemi-x-c104106,,,,,,,,,,
arac-ici-monitorler,https://www.trendyol.com/arac-ici-monitor-x-c104105,,,,,,,,,,
bluetooth-hoparlor,https://www.trendyol.com/bluetooth-hoparlor-x-c150061,,,,,,,,,,
hdmi-kablo,https://www.trendyol.com/hdmi-kablo-x-c150104,,,,,,,,,,
kablolu-hoparlor,https://www.trendyol.com/kablolu-hoparlor-x-c150062,,,,,,,,,,
oto-amfi,https://www.trendyol.com/oto-amfi-x-c109369,,,,,,,,,,
tv-aski-aparatlari,https://www.trendyol.com/tv-aski-aparatlari-x-c110306,,,,,,,,,,
oto-teyp-oto-mp3-calar,https://www.trendyol.com/oto-teyp-oto-mp3-calar-x-c103914,,,,,,,,,,
scart-kablolar,https://www.trendyol.com/scart-kablolar-x-c164968,,,,,,,,,,
ses-kablolari,https://www.trendyol.com/ses-kablolari-x-c164963,,,,,,,,,,
teyp-cercevesi,https://www.trendyol.com/teyp-cercevesi-x-c103915,,,,,,,,ses-kablosu-donusturuculeri.xlsx,,
oto-hazir-sistemler,https://www.trendyol.com/hazir-sistemler-x-c103910,,,,,,,,,,
uydu-alici,https://www.trendyol.com/uydu-alici-x-c109343,,,,,,,,,,
sound-bar,https://www.trendyol.com/soundbar-x-c143233,,,,,,,,,,uzaktan-kumandalar.xlsx
uzaktan-kumandalar,https://www.trendyol.com/uzaktan-kumandalar-x-c110304,,,,,'uzatici-&-coklayicilar.xlsx',,,,,
media-player,https://www.trendyol.com/media-player-x-c103669,,,,,,,,,,
tv-aksesuari,https://www.trendyol.com/tv-aksesuari-x-c104461,,,,,,,,,,
uydu-alici-aksesuari,https://www.trendyol.com/uydu-alici-aksesuarlari-x-c109334,,,,,,,,,,
goruntu-ve-ses-kablolari,https://www.trendyol.com/goruntu-ve-ses-kablolar-x-c150101,,,,,,,,,,
receiver-ve-amfiler,https://www.trendyol.com/receiver-amfiler-x-c143234,,,,,,,,,,
dvd-bluray-oynatici,https://www.trendyol.com/dvd-bluray-oynatici-x-c104457,,,,,,,,,,
